i slept.	நான் தூங்கினேன்.
it seems she hates you.	அவள் உன்னை வெறுக்கிற மாதிரி தெரிகிறது
she got engaged to him.	அவள் அவனுக்கு நிச்சயிக்கப் பட்டாள்
she got married to him.	அவள் அவனுக்கு திருமணம் செய்து வைக்கப் பட்டாள்
she stood close to him.	அவனுக்கு நெருக்கமாக நின்றாள்
they're about to leave.	அவர்கள் கிளம்ப இருக்கிறார்கள்
this cd belongs to her.	இந்த சீடி அவளுக்குச் சொந்தமானது
we ran after the thief.	நாங்கள் திருடனுக்குப் பின்னால் ஓடினோம்
what do you plan to do?	நீ என்ன செய்யத் திட்டமிட்டிருக்கிறாய்
a square has four sides.	ஒரு சதுரத்திற்கு நான்கு பக்கங்கள் உள்ளன
charge it to my account.	என்னுடைய கணக்கிற்கு மாற்று
did they write a letter?	அவர்கள் கடிதம் எழுதினார்களா?
he asked us to help him.	எங்களை உதவி செய்யும்படி கேட்டான்
he is known to everyone.	அவன் ஒவ்வொருவருக்கும் அறிமுகமானவன்
he objected to our plan.	எங்களுடைய திட்டத்திற்கு எதிர்ப்புத் தெரிவித்தான்
i just want you to come.	நீ வர வேண்டுமென விரும்புகிறேன்
i want something to eat.	எனக்கு சாப்பிட ஏதாவது வேண்டும்
is he a friend of yours?	அவர் உங்களுடைய நண்பரா?
the news quickly spread.	செய்தி வேகமாக பரவியது
i can't find it anywhere.	இது எங்கே இருக்கு என்று என்னால் கண்டுபிடிக்க முடியவில்லை.
i thought you'd be angry.	நீ கோபமாக இருப்பாய் என்று எண்ணினேன்.
please sit here and wait.	இங்கே அமருங்கள்,தயவு செயது காத்திருங்கள்
she went out of the room.	அவள் அறையை விட்டு வெளியே சென்றாள்
speak slowly and clearly.	மெதுவாகவும் தெளிவாகவும் பேசுங்கள்
the sky is full of stars.	வானம் முழுவதும் நட்சத்திரங்கள் இருக்கின்றன
come and see me right now.	உடனே வந்து என்னைப் பார்க்கவும்
do you have a lot of pens?	உன்னிடம் நிறைய பேனாக்கள் இருக்கின்றனவா?
go and sit by your father.	போய் உன் தந்தையருகில் அமரவும்
he bought a pair of shoes.	நான் ஒரு ஜோடி காலணிகளை வாங்கினேன்
i live on the bottom floor.	நான் கீழ் தளத்தில் வசிக்கிறேன்
i sat between tom and john.	டாமுக்கும் ஜானுக்கும் இடையில் அமர்ந்தேன்
she wore a beautiful dress.	அவள் அழகான ஆடை அணிந்திருந்தாள்
when did you come to japan?	நீ எப்பொழுது ஜப்பான் வந்தாய்?
most people think i'm crazy.	நிறைய மக்கள் நான் பைத்தியம் என்று எண்ணுகிறார்கள்
i suppose tom is still alive.	டாம் இன்னும் உயிருடனிருக்கிறான் என்று எண்ணுகிறேன்.
she asked him for some money.	அவனைக் கொஞ்சம் பணம் கேட்டாள்
tom told me about it himself.	டாம் அதைப் பற்றி அவனே என்னிடம் சொன்னான்.
do you know when he will come?	அவன் எப்ப வருவான் என்று உனக்குத் தெரியுமா
he painted a picture of a dog.	ஒரு நாயின் படத்தை வரைந்தான்
i arrived ahead of the others.	மற்றவர்களுக்கு முன்னே நான் வந்தேன்
i know every inch of the town.	இந்த ஊரின் ஒவ்வொரு அங்குலமும் எனக்குத் தெரியும்
i'm not sharing this with tom.	டாமிடம் நான் இதை பகிர்ந்துகொண்டு இருக்கவில்லை.
she is not afraid of anything.	அவள் எதற்கும் பயப்படுவதில்லை
the price of eggs is going up.	முட்டைகளின் விலை அதிகரித்துக் கொண்டிருக்கிறது
what is the price of this cap?	இந்த தொப்பியின் விலை என்ன?
which of them is your brother?	இவர்களில் யார் உன்னுடைய சகோதரர்
he arrived after the bell rang.	மணி ஒலித்தப் பிறகு அவன் வந்தான்
he was not aware of the danger.	அவன் அபாயத்தை அறிந்திருக்க வில்லை
my throat hurts when i swallow.	சின்ன கேக்குத் துண்டு அவள் தொண்டையில் சிக்கிக் கொண்டது
the school looks like a prison.	இந்த பள்ளி கூடம் ஒரு சிறைச்சாலையைப் போல இருக்கிறது
i'm not sure how to answer this.	எப்படி பதில் சொல்வது என்பதில் நான் உறுதியாக இல்லை.
there's no easy way out of here.	இங்கிருந்து வெளியே செல்ல சுலபமான வழியில்லை.
three vicious dogs attacked tom.	மூன்று மோசமான நாய்கள் டாமை தாக்கின
tom was in australia a year ago.	டாம் ஒரு வருடத்திற்கு முன்னால் ஆஸ்திரேலியாவில் இருந்தார்
when did the wedding take place?	கல்யாணம் எப்பொழுது நடைப் பெற்றது
where do you keep your passport?	நீ பாஸ்போர்ட்டைஎங்கே வைத்திருக்கிறாய்?
because he's sick, he can't come.	அவனுக்கு உடல் நிலை சரியில்லாததனால் அவனால் வர இயலாது
friendship requires mutual trust.	நட்புக்குத் தேவை பரஸ்பர நம்பிக்கை
he put the ring on mary's finger.	அவன் மேரியின் விரலில் மோதிரத்தை அணிவித்தான்
she glanced through the magazine.	அவள் பத்திரிக்கையை மேலோட்டமாகப் பார்த்தாள்
tom has been crying all afternoon.	டாம் மதியம் முழுவதும் அழுதுகொண்டேயிருக்கிறான்.
tom has been in contact with mary.	டாம் மேரியுடன் தொடர்பிலிருந்துருக்கிறான் அல்லது டாம் மேரியுடன் தொடர்பிலிருக்கிறான்.
i want to be a pilot in the future.	நான் எதிர் காலத்தில் ஒரு விமானியாக விரும்புகிறேன்
if tom ran away, where could he go?	டாம் ஓடிவிட்டால், அவரால் எங்கு செல்ல முடியும்?
i had my pocket picked on the train.	இரயிலில் என்னிடம் ஜேப்படி அடிக்கப் பட்டிருந்தது
he told her something and she smiled.	அவன் அவளிடம் ஏதோ சொன்னான் மற்றும் அவள் சிரித்தாள்.
i don't like to go out when it's dark.	இருட்டாக இருக்கும் பொழுது நான் வெளியே போக விரும்புவதில்லை.
when he spoke, everyone became silent.	அவன் பேசியப் பொழுது எல்லோரும் அமைதி காத்தார்கள்
tom drank with us until after midnight.	டாம் நள்ளிரவு வரை எங்களுடன் குடித்தார்.
she has never been in a car driven by him.	அவன் ஒட்டினக் காரில் அவள் எப்பொழுதும் இருந்ததில்லை
tom goes to church with mary every sunday.	டாம் மேரியுடன் ஒவ்வொரு ஞாயிற்றுக் கிழமையும் தேவாலயத்துக்குச் செல்கிறான்.
i don't think people use that word anymore.	மக்கள் அந்த வார்த்தையைப் பயன் படுத்துவதாக எனக்குத் தெரியவில்லை
my younger sister got married in her teens.	என் தங்கை இள வயதிலேய கல்யாணம் செய்து கொண்டாள்
i wonder why tom suggested we do that together.	ஏன் டாம் நாமிருவரும் சேர்ந்து செய்வோமென்று பரிந்துரைத்தான் என்று ஆச்சரியமடைகிறேன்.
tom says he doesn't think he can do that by himself.	என் ஒருவனால் மட்டுமே அதை செய்ய முடியாது என்று நினைக்கிறேன் என டாம் கூறினார்
people who live in glass houses shouldn't throw stones.	கண்ணாடி வீட்டில் வசிப்பவகள் கல்லை எறியக் கூடாது
it's been a long time since i've heard anyone use that word.	ஒருவர் அந்த வார்த்தையைப் பயன் படுத்துவதைக் கேட்டு ரொம்ப நாளாகிறது
if you want your workers to be happy, you need to pay them a decent wage.	உங்களுடைய வேலையாட்கள் மகிழ்ச்சியாக இருக்க வேண்டுமென்றால் நீங்கள் கணிசமான சம்பளம் தர வேண்டும்
it's my fault that the cake was burned. i was talking on the phone and didn't notice the time.	என்னுடையத் தவறினால் கேக்கானதுக் கருகிப் போனது.தோலைப் பேசியில் பேசிக் கொண்டிருந்ததால் நேரத்தைக் கவனிக்க வில்லை
